seq,tid,timestamp_sec,timestamp_nsec,msg
25003,140034255988288,1760733178,381773947,writer2-msg6232
25004,140034255988288,1760733178,381774154,writer2-msg6233
25005,140034247595584,1760733178,381835744,writer3-msg6240
25006,140034247595584,1760733178,381835896,writer3-msg6241
25007,140034272773696,1760733178,382009349,writer0-msg6248
25008,140034272773696,1760733178,382009595,writer0-msg6249
25009,140034264380992,1760733178,382724604,writer1-msg6282
25010,140034264380992,1760733178,382724932,writer1-msg6283
25011,140034255988288,1760733178,384874982,writer2-msg6234
25012,140034255988288,1760733178,384875224,writer2-msg6235
25013,140034247595584,1760733178,384899938,writer3-msg6242
25014,140034247595584,1760733178,384900264,writer3-msg6243
25015,140034272773696,1760733178,385078007,writer0-msg6250
25016,140034272773696,1760733178,385078282,writer0-msg6251
25017,140034264380992,1760733178,385791892,writer1-msg6284
25018,140034264380992,1760733178,385792154,writer1-msg6285
25019,140034255988288,1760733178,387940967,writer2-msg6236
25020,140034255988288,1760733178,387941203,writer2-msg6237
25021,140034247595584,1760733178,387967762,writer3-msg6244
25022,140034247595584,1760733178,387967919,writer3-msg6245
25023,140034272773696,1760733178,388223976,writer0-msg6252
25024,140034272773696,1760733178,388224261,writer0-msg6253
25025,140034264380992,1760733178,388858841,writer1-msg6286
25026,140034264380992,1760733178,388859086,writer1-msg6287
25027,140034255988288,1760733178,391022924,writer2-msg6238
25028,140034255988288,1760733178,391023244,writer2-msg6239
25029,140034247595584,1760733178,391129939,writer3-msg6246
25030,140034247595584,1760733178,391130158,writer3-msg6247
25031,140034272773696,1760733178,391300396,writer0-msg6254
25032,140034272773696,1760733178,391300619,writer0-msg6255
25033,140034264380992,1760733178,391923952,writer1-msg6288
25034,140034264380992,1760733178,391924182,writer1-msg6289
25035,140034255988288,1760733178,394109567,writer2-msg6240
25036,140034255988288,1760733178,394110189,writer2-msg6241
25037,140034247595584,1760733178,394283651,writer3-msg6248
25038,140034247595584,1760733178,394283904,writer3-msg6249
25039,140034272773696,1760733178,394454453,writer0-msg6256
25040,140034272773696,1760733178,394454674,writer0-msg6257
25041,140034264380992,1760733178,394988769,writer1-msg6290
25042,140034264380992,1760733178,394989109,writer1-msg6291
25043,140034255988288,1760733178,397269023,writer2-msg6242
25044,140034255988288,1760733178,397269291,writer2-msg6243
25045,140034247595584,1760733178,397350586,writer3-msg6250
25046,140034247595584,1760733178,397350851,writer3-msg6251
25047,140034272773696,1760733178,397579164,writer0-msg6258
